city,page_uniques
Torreon,2118
San Luis Potosi,3772
Ecatepec De Morelos,3154
Matamoros,297
Oaxaca De Juarez,1159
Cabo San Lucas,802
San Nicolas De Los Garza,1143
Chihuahua,3113
Coacalco,1028
San Miguel De Allende,374
Villahermosa,2938
Teocuitatlan De Corona,26
Metepec,1071
Charay,6
Valle De Chalco,356
Guaymas,362
Tultepec,79
San Luis Rio Colorado,85
Nogales,509
Lazaro Cardenas,350
Zapotlanejo,80
Apatzingan,106
Xalapa,2118
Benito Juarez,53
Obregon,854
Santa Cruz Amilpas,38
San Pedro Garza Garcia,592
Tenancingo De Degollado,10
Puerto Vallarta,880
La Barca,26
Nicolas Romero,432
Moroleon,177
Tula De Allende,711
Cuyutlan,64
Tezontepec De Aldama,19
San Juan De Los Lagos,63
Cananea,56
Acapulco De Juarez,143
Villa Nicolas Romero,66
Juchitepec,12
Nuevo Vallarta,306
Sahuayo,54
Zitacuaro,86
Guasave,168
Lagunas,5
Alvarado,25
Isla,3
Lerma De Villada,19
Tlanalapa,11
Ciudad Constitucion,15
El Mante,38
Ameca,27
Victoria De Durango,27
Santiago Tuxtla,15
Ahome,6
San Luis De La Paz,81
Ezequiel Montes,16
Tapalpa,15
Xalapa-enriquez,36
Santa Cruz De Juventino Rosas,14
Barrio De Jalisco,3
San Miguel Allende,18
Tulum,61
Tejupilco De Hidalgo,18
Ocoyoacac,13
Santiago,17
Cuajimalpa,49
Cihuatlan,3
Capulhuac,10
Ciudad Hidalgo,37
San Andres Atenco,5
Ermita Zaragoza,50
Xochitepec,38
Huetamo,6
Poza Rica De Hidalgo,91
Culturas De Mexico,4
Santa Maria Zacatepec,5
Bajos De Chila,5
Juventino Rosas,11
Tuxpam De Rodriguez Cano,49
Tlaxiaco,20
Calpulalpan,2
Acolman,45
Singuilucan,5
Villa De Cos,9
Huixquilucan De Degollado,20
Playas De Rosarito,29
Nueva Rosita,26
Tihuatlan,18
Ixtepec,34
Bella Aurora,5
Acula,2
Amatitan,7
Chignautla,13
Kanasin,10
Fuentes De Satelite,10
Tabasco,13
Nonoalco Tlatelolco,1
Estrella,33
Esqueda,3
San Pedro Mixtepec Juquila,6
Navidad,5
Ayutla De Los Libres,7
Sahuayo De Morelos,10
San Matias Tlalancaleca,3
Xico,6
Rayon,11
Autlan,3
Carlos A. Carrillo,2
Tizapan El Alto,10
Calkini,5
Santa Maria Tultepec,5
Cadereyta,5
Independencia,1
Progreso,4
Castillo De Teayo,3
Ejutla De Crespo,8
Atoyac De Alvarez,9
San Lorenzo Tlacotepec,4
Jalpa,5
Zapotitlan Salinas,2
Isla Mujeres,6
Valle De Juarez,2
Bellavista,1
Santa Maria Mixtequilla,1
Agua Nacida,2
Villanueva,3
Arteaga,1
Ciudad Pemex,3
Mazamitla,1
Tecalitlan,6
Platon Sanchez,1
Tequesquitengo,4
Leon,5775
Jiquilpan,2
Cholula,100
San Blas Atempa,1
Tlalnepantla,2446
Santa Cruz Huatulco,1
Naucalpan,4968
Heroes De Padierna,2
Atotonilco El Alto,71
Santa Rosa Jauregui,1
Estado De Mexico,190
Santiago De Anaya,2
Ciudad Guzman,425
Bamoa,1
Coacalco De Berriozabal,463
Mexico City,140541
Juchitan,58
Veracruz,2632
Tejupilco,39
Villa De Alvarez,367
Huatusco,26
Pachuca,2152
Manzanillo,509
Juarez,2263
Jiutepec,358
Ensenada,876
Uruapan,631
Guadalupe,1902
Agua Prieta,70
Juchitan De Zaragoza,345
Tequila,3
Chilpancingo,1479
Cerro Azul,48
Ixtapaluca,683
Acayucan,23
Campeche,928
Ciudad Juarez,53
Centro,622
General Escobedo,35
San Pedro Cholula,128
Xicotepec De Juarez,17
Victoria,344
San Pedro Pochutla,26
Estado De Queretaro,72
San Pablo Chimalpa,25
Sabinas,75
Tlajomulco,49
Playa Del Carmen,683
Izucar De Matamoros,25
Cajeme,69
Nanchital,30
Mixquiahuala,35
El Rosario,7
Coatzintla,38
Arriaga,6
Iztacalco,27
Penjamo,11
Huatulco,154
Ixtapa Zihuatanejo,5
Coronango,1
Pinal De Amoles,14
Teotihuacan,64
Miahuatlan De Porfirio Diaz,2
Ciudad Madero,211
Ixtaczoquitlan,25
San Martin Xochinahuac,7
Escobedo,38
Las Varas,12
Pochutla,5
Loreto,10
Capulhuac De Mirafuentes,6
Zacatelco,7
Xicohtzinco,6
San Andres Cholula,70
Guadalupe Insurgentes,21
Garcia,22
Rosarito,5
Tequisquiapan,53
San Felipe,4
Texcoco De Mora,41
Amozoc,10
San Rafael,10
Tezoyuca,5
Garcia De La Cadena,2
San Juan De Sabinas,1
San Pedro Lagunillas,2
Tulancingo De Bravo,25
Mexico Distrito Federal,21
El Mirador,10
Tonatico,7
Heroica Caborca,8
Santa Catarina Ayometla,1
Comala,8
Culiacan Rosales,5
Periban De Ramos,11
Allende,34
Abasolo,8
Tecpan De Galeana,3
Heroica Ciudad De Cananea,9
Tlaxcala De Xicohtencatl,2
Tamazunchale,9
Chapulco,6
Santa Rosalia,3
Santa Maria Atzompa,4
San Jeronimo Zacualpan,7
Linares,10
Casimiro Castillo,14
Lerdo De Tejada,15
Tepeyanco,3
Chicapa De Castro,7
El Barrio De La Soledad,3
Champoton,7
Calera,4
Coeneo,13
Ciudad Lazaro Cardenas,7
San Jeronimo Miacatlan,8
Acambay,7
Tres Valles,10
Pichucalco,2
Santiago Maravatio,1
Tanhuato,2
San Francisco De Los Romo,10
Colon,8
Salinas Victoria,3
Chilapa,3
Mesa De Guadalupe,3
Solidaridad,1
Agosto,27
Santa Cruz Atizapan,7
Apaseo El Grande,3
Huejuquilla El Alto,1
Michoacan,6
Ocosingo,3
Los Reyes De Salgado,8
Dzitbalche,2
Medellin,3
Delegacion Coyoacan,5
Apetatitlan,7
El Pitahayal,1
Tierra Blanca Booxter,4
Purepero,7
Juan Rodriguez Clara,5
Concepcion Del Oro,2
Acatlan De Juarez,2
Tacoaleche,1
Cojumatlan,1
Loma De San Felipe,2
Pinos,2
Medellin De Bravo,3
Amealco De Bonfil,1
San Juan Cosala,4
Ciudad Apodaca,2
El Retono,2
Camutla,1
Maravatio,2
Halacho,1
Rafael Delgado,1
Lomas De Santa Fe,1
Mazatlan,1342
Zimapan,1
Navojoa,210
Cuarto Centenario,1
Sahagun,54
Mexicali,1612
Jojutla,154
Cancun,2522
Tlaxcala,866
Fresnillo,174
Durango,1344
Los Mochis,1477
Boca Del Rio,274
Queretaro,4927
Misantla,22
Martinez De La Torre,60
Ocotlan,139
Ciudad Del Carmen,479
La Piedad,183
Poza Rica,992
San Francisco Del Rincon,51
Tepatitlan De Morelos,175
Tlalpan,107
Huehuetoca,81
Teziutlan,65
Delicias,204
Tehuantepec,21
Magdalena De Kino,42
Tepeapulco,32
Cuautitlan,315
San Juan De Los Arcos,32
Hopelchen,52
Pedro Escobedo,10
Huixquilucan,341
Apizaco,68
Huejutla,16
Arandas,67
Azcapotzalco,215
Chicontepec,9
Puerto Escondido,107
Ciudad Mante,19
Iguala,311
Comonfort,13
Puerto Penasco,125
Penjamillo,3
Chilapa De Alvarez,15
Tepexi De Rodriguez,4
Cuautepec,13
Heroica Ciudad De Tlaxiaco,14
Zihuatanejo,129
Nuevo Casas Grandes,35
San Jose Iturbide,42
Tepatitlan,41
Ixtlahuaca,12
Campo De Tiro Los Gamitos,13
Santiago Pinotepa Nacional,24
Coatepec,5
Jimenez,11
Villa Hidalgo,9
Vega De Alatorre,5
Tepecoacuilco De Trujano,3
Petlalcingo,7
Los Reyes,16
Tierra Blanca,63
Bucerias,3
Ixtlan Del Rio,7
Chiapa De Corzo,42
Huehuetan,24
San Andres Ahuashuatepec,2
Colonia Agricola El Naranjo,4
Ciudad Insurgentes,3
Cumpas,3
