Unnamed: 0,tz_time,page_uniques,page_views
0.0,2020-01-01 00:00,2443792,4330158
1.0,2020-01-02 00:00,3096608,6020902
2.0,2020-01-03 00:00,4071519,7596133
3.0,2020-01-04 00:00,2880565,5135154
4.0,2020-01-05 00:00,1916196,3601356
5.0,2020-01-06 00:00,2376494,5749716
6.0,2020-01-07 00:00,3013020,6845699
7.0,2020-01-08 00:00,2999609,7231191
8.0,2020-01-09 00:00,2790299,6597386
9.0,2020-01-10 00:00,3363256,7426743
10.0,2020-01-11 00:00,2749513,5132394
11.0,2020-01-12 00:00,2483159,4659006
12.0,2020-01-13 00:00,2773278,6931049
13.0,2020-01-14 00:00,2940175,7038602
14.0,2020-01-15 00:00,3289612,7661519
15.0,2020-01-16 00:00,2983058,6860177
16.0,2020-01-17 00:00,3704420,7803175
17.0,2020-01-18 00:00,3294808,5897876
18.0,2020-01-19 00:00,2511326,4561944
19.0,2020-01-20 00:00,2602613,6307412
20.0,2020-01-21 00:00,2826866,6531514
21.0,2020-01-22 00:00,3717490,7934234
22.0,2020-01-23 00:00,3187079,7192610
23.0,2020-01-24 00:00,2526249,5915233
24.0,2020-01-25 00:00,2154469,4188006
25.0,2020-01-26 00:00,2497658,4821652
26.0,2020-01-27 00:00,3110834,7463572
27.0,2020-01-28 00:00,4015316,8526031
28.0,2020-01-29 00:00,3264679,7202490
29.0,2020-01-30 00:00,3647953,7652168
30.0,2020-01-31 00:00,3238821,6790157
31.0,2020-02-01 00:00,2486772,4541716
32.0,2020-02-02 00:00,2747811,4779827
33.0,2020-02-03 00:00,3023100,5631008
34.0,2020-02-04 00:00,3543557,7557105
35.0,2020-02-05 00:00,3151572,7176738
36.0,2020-02-06 00:00,2754555,6511896
37.0,2020-02-07 00:00,2391227,5368353
38.0,2020-02-08 00:00,2276515,4265976
39.0,2020-02-09 00:00,2544247,4635489
40.0,2020-02-10 00:00,2752674,6584428
41.0,2020-02-11 00:00,3198771,7297028
42.0,2020-02-12 00:00,2917121,7182385
43.0,2020-02-13 00:00,2452295,6163874
44.0,2020-02-14 00:00,2088048,5347150
45.0,2020-02-15 00:00,1863152,3706684
46.0,2020-02-16 00:00,1829623,3694500
47.0,2020-02-17 00:00,3066560,7342494
48.0,2020-02-18 00:00,6188251,11818416
49.0,2020-02-19 00:00,7367042,14100439
50.0,2020-02-20 00:00,3823797,8840381
51.0,2020-02-21 00:00,3173332,7150479
52.0,2020-02-22 00:00,2111264,4195523
53.0,2020-02-23 00:00,2233715,4467947
54.0,2020-02-24 00:00,2718652,6940989
55.0,2020-02-25 00:00,2872152,6957967
56.0,2020-02-26 00:00,3010398,7186661
57.0,2020-02-27 00:00,2728996,6718163
58.0,2020-02-28 00:00,4479251,8911227
59.0,2020-02-29 00:00,2282399,4560667
60.0,2020-03-01 00:00,2325709,4494676
61.0,2020-03-02 00:00,2850799,6912279
62.0,2020-03-03 00:00,2752622,6672015
63.0,2020-03-04 00:00,2414584,6231301
64.0,2020-03-05 00:00,2565944,6411612
65.0,2020-03-06 00:00,2324159,5623295
66.0,2020-03-07 00:00,2228020,4281790
67.0,2020-03-08 00:00,2374865,4588293
68.0,2020-03-09 00:00,2753579,7037153
69.0,2020-03-10 00:00,2848526,7137145
70.0,2020-03-11 00:00,3276026,8044437
71.0,2020-03-12 00:00,3860895,9068869
72.0,2020-03-13 00:00,4131436,9207621
73.0,2020-03-14 00:00,3298200,6327198
74.0,2020-03-15 00:00,3460140,6725475
75.0,2020-03-16 00:00,4200109,8677285
76.0,2020-03-17 00:00,4414532,10245279
77.0,2020-03-18 00:00,3910230,9580270
78.0,2020-03-19 00:00,4049408,9808247
79.0,2020-03-20 00:00,3555982,8843925
80.0,2020-03-21 00:00,3686992,7419195
81.0,2020-03-22 00:00,3735002,7656629
82.0,2020-03-23 00:00,4766610,10816369
83.0,2020-03-24 00:00,4370157,10287551
84.0,2020-03-25 00:00,3694379,8992319
85.0,2020-03-26 00:00,3372428,8574852
86.0,2020-03-27 00:00,3411924,8075063
87.0,2020-03-28 00:00,3106782,6659202
88.0,2020-03-29 00:00,3026989,6484334
89.0,2020-03-30 00:00,3665972,8749962
90.0,2020-03-31 00:00,3706354,8822190
91.0,2020-04-01 00:00,4353322,9644096
92.0,2020-04-02 00:00,3796930,8661479
93.0,2020-04-03 00:00,3049094,7349651
94.0,2020-04-04 00:00,2801580,6034870
95.0,2020-04-05 00:00,3825401,7856874
96.0,2020-04-06 00:00,3910729,8973314
97.0,2020-04-07 00:00,3278974,7699103
98.0,2020-04-08 00:00,3547925,7958894
99.0,2020-04-09 00:00,3856173,8184292
100.0,2020-04-10 00:00,3227106,6723031
101.0,2020-04-11 00:00,3272978,6587324
102.0,2020-04-12 00:00,3133843,6365093
103.0,2020-04-13 00:00,3163820,7508696
104.0,2020-04-14 00:00,3815947,8727495
105.0,2020-04-15 00:00,3858092,8520282
106.0,2020-04-16 00:00,4668564,9865425
107.0,2020-04-17 00:00,3245164,7598185
108.0,2020-04-18 00:00,3179912,6560525
109.0,2020-04-19 00:00,2940988,5970378
110.0,2020-04-20 00:00,4091038,8882042
111.0,2020-04-21 00:00,6842306,13130244
112.0,2020-04-22 00:00,4695772,9410107
113.0,2020-04-23 00:00,3379952,7675118
114.0,2020-04-24 00:00,3131925,7039058
115.0,2020-04-25 00:00,2782767,5678721
116.0,2020-04-26 00:00,3051519,6159357
117.0,2020-04-27 00:00,3108927,7358342
118.0,2020-04-28 00:00,3130687,7339944
119.0,2020-04-29 00:00,3233471,7328834
120.0,2020-04-30 00:00,3167533,7185018
121.0,2020-05-01 00:00,3858960,7524562
122.0,2020-05-02 00:00,2891888,5750125
123.0,2020-05-03 00:00,3172490,6519477
124.0,2020-05-04 00:00,3025357,6951198
125.0,2020-05-05 00:00,3221171,7222760
126.0,2020-05-06 00:00,3195708,7225678
127.0,2020-05-07 00:00,3661454,7920870
128.0,2020-05-08 00:00,3846670,7856433
129.0,2020-05-09 00:00,3538061,6989089
130.0,2020-05-10 00:00,3301509,6440846
131.0,2020-05-11 00:00,3642554,8042184
132.0,2020-05-12 00:00,3311413,7470924
133.0,2020-05-13 00:00,5437487,10306615
134.0,2020-05-14 00:00,3653009,7667264
135.0,2020-05-15 00:00,3423370,6986916
136.0,2020-05-16 00:00,3541586,6695979
137.0,2020-05-17 00:00,3268534,6260283
138.0,2020-05-18 00:00,3912477,8282662
139.0,2020-05-19 00:00,3651704,7943079
140.0,2020-05-20 00:00,4036169,8395604
141.0,2020-05-21 00:00,4281063,8705545
142.0,2020-05-22 00:00,3596951,7298244
143.0,2020-05-23 00:00,2914758,5707737
144.0,2020-05-24 00:00,2790081,5672748
145.0,2020-05-25 00:00,2704249,6370199
146.0,2020-05-26 00:00,2853598,6621827
147.0,2020-05-27 00:00,2989064,6765247
148.0,2020-05-28 00:00,3455764,7782158
149.0,2020-05-29 00:00,3226746,6971614
150.0,2020-05-30 00:00,2670336,5380115
