fecha,pendiente_max
2020-01-01,38781
2020-01-02,71441
2020-01-03,80161
2020-01-04,52674
2020-01-05,34012
2020-01-06,42498
2020-01-07,119013
2020-01-08,42444
2020-01-09,54812
2020-01-10,65987
2020-01-11,99000
2020-01-12,54068
2020-01-13,77453
2020-01-14,57754
2020-01-15,61674
2020-01-16,52058
2020-01-17,56089
2020-01-18,63566
2020-01-19,46640
2020-01-20,43414
2020-01-21,43322
2020-01-22,89787
2020-01-23,56913
2020-01-24,45973
2020-01-25,48271
2020-01-26,43027
2020-01-27,54514
2020-01-28,67806
2020-01-29,63930
2020-01-30,102915
2020-01-31,47944
2020-02-01,46834
2020-02-02,55970
2020-02-03,50450
2020-02-04,56630
2020-02-05,66183
2020-02-06,48273
2020-02-07,44942
2020-02-08,60324
2020-02-09,49875
2020-02-10,47989
2020-02-11,70749
2020-02-12,61786
2020-02-13,62105
2020-02-14,33226
2020-02-15,45134
2020-02-16,39287
2020-02-17,58726
2020-02-18,224313
2020-02-19,522403
2020-02-20,67293
2020-02-21,63786
2020-02-22,47240
2020-02-23,57132
2020-02-24,56545
2020-02-25,59238
2020-02-26,63772
2020-02-27,52059
2020-02-28,309592
2020-02-29,61854
2020-03-01,46734
2020-03-02,56598
2020-03-03,46500
2020-03-04,46321
2020-03-05,47629
2020-03-06,43186
2020-03-07,76090
2020-03-08,66966
2020-03-09,71526
2020-03-10,68266
2020-03-11,61001
2020-03-12,71860
2020-03-13,115545
2020-03-14,118401
2020-03-15,79311
2020-03-16,74132
2020-03-17,80187
2020-03-18,175708
2020-03-19,91033
2020-03-20,77081
2020-03-21,80251
2020-03-22,69302
2020-03-23,142738
2020-03-24,89774
2020-03-25,91990
2020-03-26,68203
2020-03-27,81444
2020-03-28,88123
2020-03-29,61384
2020-03-30,136860
2020-03-31,66932
2020-04-01,91958
2020-04-02,93004
2020-04-03,72240
2020-04-04,72472
2020-04-05,113461
2020-04-06,120184
2020-04-07,69318
2020-04-08,72420
2020-04-09,83570
2020-04-10,68093
2020-04-11,65939
2020-04-12,62932
2020-04-13,72908
2020-04-14,65378
2020-04-15,71461
2020-04-16,193372
2020-04-17,78009
2020-04-18,136046
2020-04-19,55892
2020-04-20,262550
2020-04-21,627777
2020-04-22,159539
2020-04-23,69054
2020-04-24,59184
2020-04-25,53093
2020-04-26,59185
2020-04-27,68727
2020-04-28,59204
2020-04-29,62952
2020-04-30,75782
2020-05-01,61100
2020-05-02,62401
2020-05-03,55418
2020-05-04,66200
2020-05-05,57929
2020-05-06,73327
2020-05-07,63384
2020-05-08,93852
2020-05-09,72134
2020-05-10,52122
2020-05-11,65393
2020-05-12,68574
2020-05-13,220251
2020-05-14,67700
2020-05-15,64589
2020-05-16,65041
2020-05-17,56115
2020-05-18,99358
2020-05-19,81658
2020-05-20,89972
2020-05-21,91938
2020-05-22,74467
2020-05-23,59406
2020-05-24,50726
2020-05-25,59870
2020-05-26,53513
2020-05-27,61966
2020-05-28,68719
2020-05-29,78828
2020-05-30,56662
2020-05-31,46223
2020-06-01,72835
2020-06-02,134077
2020-06-03,68137
2020-06-04,65497
2020-06-05,65601
2020-06-06,50201
2020-06-07,47308
2020-06-08,61523
2020-06-09,90577
2020-06-10,73609
2020-06-11,57697
2020-06-12,50671
2020-06-13,53903
2020-06-14,50598
2020-06-15,69081
2020-06-16,61417
2020-06-17,58350
2020-06-18,61791
2020-06-19,155984
2020-06-20,66290
2020-06-21,42836
2020-06-22,55618
2020-06-23,63336
2020-06-24,52438
2020-06-25,49326
2020-06-26,144620
2020-06-27,56684
2020-06-28,50152
2020-06-29,56910
2020-06-30,65450
2020-07-01,60148
2020-07-02,55821
2020-07-03,56166
2020-07-04,48623
2020-07-05,42142
2020-07-06,53066
2020-07-07,56988
2020-07-08,109396
2020-07-09,76212
2020-07-10,49840
2020-07-11,43927
2020-07-12,47970
2020-07-13,58573
2020-07-14,59859
2020-07-15,51901
2020-07-16,47318
2020-07-17,44394
2020-07-18,47314
2020-07-19,44283
2020-07-20,68962
2020-07-21,55911
2020-07-22,60274
2020-07-23,52304
2020-07-24,54668
2020-07-25,40804
2020-07-26,43356
2020-07-27,57453
2020-07-28,47842
2020-07-29,107778
2020-07-30,87754
2020-07-31,52734
2020-08-01,44468
2020-08-02,113089
2020-08-03,118057
2020-08-04,61849
2020-08-05,61684
